gen,max_sectors_kb,nr_requests,read_ahead_kb,nomerges,scheduler,rq_affinity,read_throughput,read_latency,is_pareto,throughput,latency
0.0,2569,78,0,0,0,1,810687.0,468992.0,1.0,810.687,0.468992
0.0,2883,46,2,2,0,1,905764.0,577536.0,1.0,905.764,0.577536
0.0,3824,108,3,0,0,1,932474.0,593920.0,1.0,932.474,0.59392
0.0,2026,51,5,1,0,1,822155.0,569344.0,1.0,822.155,0.569344
0.0,3936,48,4,2,2,0,748225.0,536576.0,0.0,748.225,0.536576
0.0,4,1,0,0,0,0,855720.0,593920.0,0.0,855.72,0.59392
0.0,1922,30,4,0,2,1,931878.0,602112.0,0.0,931.878,0.602112
0.0,241,42,6,1,2,2,716042.0,536576.0,0.0,716.042,0.536576
0.0,311,53,0,1,0,2,864916.0,602112.0,0.0,864.916,0.602112
0.0,1250,2,6,2,0,0,645206.0,544768.0,0.0,645.206,0.544768
0.0,3625,122,6,0,0,1,862955.0,602112.0,0.0,862.955,0.602112
0.0,3136,18,0,1,2,2,846195.0,602112.0,0.0,846.195,0.602112
0.0,2252,88,0,1,2,2,845002.0,602112.0,0.0,845.002,0.602112
0.0,3884,127,0,1,2,1,836666.0,610304.0,0.0,836.666,0.610304
0.0,384,45,5,2,1,2,799369.0,610304.0,0.0,799.369,0.610304
0.0,2050,64,3,1,1,1,790300.0,618496.0,0.0,790.3,0.618496
0.0,253,6,6,1,0,0,792724.0,626688.0,0.0,792.724,0.626688
0.0,2501,34,2,1,1,0,785932.0,618496.0,0.0,785.932,0.618496
0.0,3568,21,5,1,2,2,779032.0,618496.0,0.0,779.032,0.618496
0.0,2641,101,4,1,1,1,783294.0,634880.0,0.0,783.294,0.63488
0.0,791,101,4,2,0,0,784122.0,1171456.0,0.0,784.122,1.171456
0.0,3121,15,2,2,0,2,768666.0,618496.0,0.0,768.666,0.618496
0.0,2405,104,1,0,2,0,777590.0,626688.0,0.0,777.59,0.626688
0.0,154,75,3,2,0,2,782275.0,634880.0,0.0,782.275,0.63488
0.0,1438,82,5,2,2,1,753056.0,618496.0,0.0,753.056,0.618496
0.0,3118,53,5,1,0,2,777845.0,634880.0,0.0,777.845,0.63488
0.0,3798,29,1,2,2,2,781118.0,667648.0,0.0,781.118,0.667648
0.0,3837,124,5,1,2,2,750980.0,618496.0,0.0,750.98,0.618496
0.0,923,49,6,2,2,0,769045.0,643072.0,0.0,769.045,0.643072
0.0,244,93,5,0,2,1,751402.0,634880.0,0.0,751.402,0.63488
0.0,1727,39,1,2,0,2,776455.0,1695744.0,0.0,776.455,1.695744
0.0,4071,49,4,0,1,0,772660.0,921600.0,0.0,772.66,0.9216
0.0,3119,23,4,1,0,0,745199.0,618496.0,0.0,745.199,0.618496
0.0,3323,74,2,2,2,2,757292.0,659456.0,0.0,757.292,0.659456
0.0,2938,61,2,1,1,1,764637.0,692224.0,0.0,764.637,0.692224
0.0,812,52,2,1,1,1,742928.0,618496.0,0.0,742.928,0.618496
0.0,3514,70,4,2,1,1,752422.0,675840.0,0.0,752.422,0.67584
0.0,418,26,5,0,2,1,755604.0,757760.0,0.0,755.604,0.75776
0.0,919,9,2,2,2,1,742352.0,626688.0,0.0,742.352,0.626688
0.0,3921,10,5,0,1,2,748761.0,708608.0,0.0,748.761,0.708608
0.0,109,99,2,1,0,1,737765.0,675840.0,0.0,737.765,0.67584
0.0,215,39,5,1,2,0,735324.0,643072.0,0.0,735.324,0.643072
0.0,3195,126,5,1,1,0,733276.0,634880.0,0.0,733.276,0.63488
0.0,1226,37,4,2,1,0,729331.0,626688.0,0.0,729.331,0.626688
0.0,4047,102,6,1,0,0,746376.0,1744896.0,0.0,746.376,1.744896
0.0,224,68,2,1,0,2,692774.0,782336.0,0.0,692.774,0.782336
0.0,180,36,4,1,2,2,682157.0,634880.0,0.0,682.157,0.63488
0.0,4096,128,7,3,3,3,724817.0,1990656.0,0.0,724.817,1.990656
0.0,1321,3,5,2,1,2,631558.0,659456.0,0.0,631.558,0.659456
0.0,4004,60,3,0,1,2,686899.0,2113536.0,0.0,686.899,2.113536
1.0,2569,78,0,0,0,1,810687.0,468992.0,1.0,810.687,0.468992
1.0,2883,46,2,2,0,1,905764.0,577536.0,1.0,905.764,0.577536
1.0,3824,108,3,0,0,1,932474.0,593920.0,1.0,932.474,0.59392
1.0,2026,51,5,1,0,1,822155.0,569344.0,1.0,822.155,0.569344
1.0,3119,83,0,1,0,0,814999.0,481280.0,1.0,814.999,0.48128
