exp,throughput,latency
rand_read,699733.0,1019904.0
rand_read,787800.0,1269760.0
rand_read,1017428.0,2179072.0
rand_read,856302.0,978944.0
rand_read,768442.0,954368.0
rand_read,786957.0,610304.0
rand_read,683931.0,897024.0
rand_read,776123.0,610304.0
rand_read,780987.0,536576.0
rand_read,862575.0,897024.0
rand_read,871811.0,585728.0
rand_read,747941.0,970752.0
rand_read,784458.0,626688.0
rand_read,829970.0,634880.0
rand_read,773828.0,610304.0
rand_read,898879.0,659456.0
rand_read,815188.0,610304.0
rand_read,871686.0,602112.0
rand_read,608461.0,815104.0
rand_read,862146.0,634880.0
rand_read,856147.0,593920.0
rand_read,737551.0,1236992.0
rand_read,866258.0,593920.0
rand_read,986569.0,577536.0
rand_read,339679.0,3784704.0
rand_read,326799.0,3719168.0
rand_read,342846.0,2605056.0
rand_read,343215.0,3850240.0
rand_read,325006.0,3850240.0
rand_read,756033.0,626688.0
rand_read,660449.0,2899968.0
rand_read,823636.0,913408.0
rand_read,760377.0,626688.0
rand_read,791449.0,741376.0
rand_read,278355.0,4554752.0
rand_read,262607.0,2310144.0
rand_read,788594.0,489472.0
rand_read,990594.0,618496.0
rand_read,732847.0,618496.0
rand_read,854049.0,602112.0
rand_read,780656.0,1044480.0
rand_read,774657.0,1089536.0
rand_read,731568.0,643072.0
rand_read,704005.0,626688.0
rand_read,873627.0,978944.0
rand_read,732079.0,618496.0
rand_read,766768.0,626688.0
rand_read,866451.0,2007040.0
rand_read,820250.0,1892352.0
rand_read,866094.0,585728.0
rand_read,776850.0,880640.0
rand_read,871161.0,880640.0
rand_read,777157.0,618496.0
rand_read,751548.0,481280.0
rand_read,765109.0,1368064.0
rand_read,870160.0,593920.0
rand_read,972704.0,577536.0
rand_read,896454.0,1187840.0
rand_read,690537.0,946176.0
rand_read,778211.0,626688.0
rand_read,776769.0,634880.0
rand_read,854177.0,602112.0
rand_read,807242.0,602112.0
rand_read,787200.0,987136.0
rand_read,839107.0,634880.0
rand_read,755454.0,610304.0
rand_read,746502.0,1794048.0
rand_read,735337.0,610304.0
rand_read,673531.0,659456.0
rand_read,841036.0,626688.0
rand_read,728343.0,1302528.0
rand_read,866883.0,585728.0
rand_read,556688.0,1286144.0
rand_read,640470.0,692224.0
rand_read,689870.0,692224.0
rand_read,626362.0,1286144.0
rand_read,820030.0,1810432.0
rand_read,735524.0,618496.0
rand_read,786574.0,626688.0
rand_read,775180.0,505856.0
rand_read,768329.0,643072.0
rand_read,751609.0,1187840.0
rand_read,725915.0,618496.0
rand_read,768913.0,659456.0
rand_read,730781.0,1044480.0
rand_read,711029.0,831488.0
rand_read,856815.0,1003520.0
rand_read,704480.0,1925120.0
rand_read,760914.0,1138688.0
rand_read,973608.0,684032.0
rand_read,894879.0,1105920.0
rand_read,769964.0,1036288.0
rand_read,761535.0,1011712.0
rand_read,981949.0,1105920.0
rand_read,766464.0,1384448.0
rand_read,696366.0,1220608.0
rand_read,852948.0,733184.0
rand_read,869642.0,1089536.0
rand_read,695354.0,700416.0
rand_read,825900.0,585728.0
rand_read,808639.0,1826816.0
rand_read,757747.0,634880.0
rand_read,666545.0,823296.0
rand_read,857491.0,610304.0
rand_read,764349.0,724992.0
rand_read,908837.0,569344.0
rand_read,773538.0,2056192.0
rand_read,768381.0,618496.0
rand_read,720789.0,987136.0
rand_read,739140.0,733184.0
rand_read,974595.0,569344.0
rand_read,809480.0,602112.0
rand_read,735691.0,937984.0
rand_read,854201.0,602112.0
rand_read,871224.0,593920.0
rand_read,824937.0,880640.0
rand_read,740549.0,626688.0
rand_read,719815.0,684032.0
rand_read,746403.0,667648.0
rand_read,771817.0,610304.0
rand_read,683961.0,733184.0
rand_read,836587.0,815104.0
rand_read,769835.0,864256.0
rand_read,982151.0,561152.0
rand_read,881787.0,585728.0
rand_read,773385.0,667648.0
rand_read,735626.0,913408.0
rand_read,774661.0,1990656.0
rand_read,837618.0,610304.0
rand_read,775536.0,733184.0
rand_read,775526.0,610304.0
rand_read,873024.0,675840.0
rand_read,770518.0,626688.0
rand_read,816126.0,602112.0
rand_read,873857.0,602112.0
rand_read,756362.0,473088.0
rand_read,765403.0,929792.0
rand_read,860181.0,1777664.0
rand_read,788198.0,602112.0
rand_read,755948.0,618496.0
rand_read,758712.0,1646592.0
rand_read,743686.0,618496.0
rand_read,824906.0,514048.0
rand_read,507855.0,954368.0
rand_read,560127.0,724992.0
rand_read,753248.0,618496.0
rand_read,858621.0,618496.0
rand_read,791511.0,626688.0
rand_read,727377.0,618496.0
rand_read,876681.0,626688.0
rand_read,271876.0,1171456.0
rand_read,723489.0,618496.0
rand_read,738292.0,1122304.0
rand_read,757656.0,468992.0
rand_read,260750.0,13041664.0
rand_read,751702.0,1351680.0
rand_read,786895.0,643072.0
rand_read,682827.0,757760.0
rand_read,719474.0,1810432.0
rand_read,864585.0,1105920.0
rand_read,777688.0,929792.0
