gen,max_sectors_kb,nr_requests,read_ahead_kb,nomerges,scheduler,rq_affinity,write_throughput,write_latency,is_pareto,throughput,latency
0.0,2050,64,3,1,0,1,395842.0,53739520.0,1.0,395.842,53.73952
0.0,647,45,5,1,0,0,382398.0,50069504.0,1.0,382.398,50.069504
0.0,3982,122,3,1,0,0,403122.0,54788096.0,1.0,403.122,54.788096
0.0,3887,98,5,0,0,2,405356.0,60030976.0,1.0,405.356,60.030976
0.0,3961,103,4,2,0,2,410609.0,66322432.0,1.0,410.609,66.322432
0.0,561,3,0,0,0,0,423231.0,68681728.0,1.0,423.231,68.681728
0.0,4,1,0,0,0,0,377966.0,54263808.0,0.0,377.966,54.263808
0.0,280,60,6,0,0,0,400692.0,61079552.0,0.0,400.692,61.079552
0.0,2532,67,4,0,0,0,392119.0,60030976.0,0.0,392.119,60.030976
0.0,3086,65,0,0,0,1,402915.0,66322432.0,0.0,402.915,66.322432
0.0,3406,84,0,0,0,1,407038.0,71827456.0,0.0,407.038,71.827456
0.0,2326,49,4,0,0,0,422132.0,83361792.0,0.0,422.132,83.361792
0.0,3463,127,4,2,0,0,395664.0,63176704.0,0.0,395.664,63.176704
0.0,1558,108,2,2,0,2,381851.0,62128128.0,0.0,381.851,62.128128
0.0,3160,80,1,0,0,2,387886.0,62652416.0,0.0,387.886,62.652416
0.0,526,126,4,0,0,1,396497.0,68681728.0,0.0,396.497,68.681728
0.0,390,26,4,0,0,0,402300.0,76021760.0,0.0,402.3,76.02176
0.0,2237,9,1,0,0,0,393447.0,64749568.0,0.0,393.447,64.749568
0.0,3423,114,4,0,0,1,394583.0,67633152.0,0.0,394.583,67.633152
0.0,3094,95,6,1,0,1,392766.0,63700992.0,0.0,392.766,63.700992
0.0,4096,128,7,3,1,3,372919.0,62652416.0,0.0,372.919,62.652416
0.0,515,97,3,2,0,1,399890.0,79167488.0,0.0,399.89,79.167488
0.0,432,83,6,2,0,1,392947.0,67633152.0,0.0,392.947,67.633152
0.0,1067,107,5,0,0,2,393056.0,69730304.0,0.0,393.056,69.730304
0.0,3618,23,0,0,0,2,389654.0,65273856.0,0.0,389.654,65.273856
0.0,1719,100,3,1,0,1,388692.0,64225280.0,0.0,388.692,64.22528
0.0,2883,19,6,2,0,1,368700.0,63176704.0,0.0,368.7,63.176704
0.0,3257,109,2,2,0,2,396141.0,80216064.0,0.0,396.141,80.216064
0.0,1149,109,6,2,0,0,390815.0,74973184.0,0.0,390.815,74.973184
0.0,100,60,5,1,0,2,380172.0,65273856.0,0.0,380.172,65.273856
0.0,902,1,4,0,0,1,388492.0,66322432.0,0.0,388.492,66.322432
0.0,2880,85,4,1,0,1,367982.0,65273856.0,0.0,367.982,65.273856
0.0,3721,44,6,1,0,1,382874.0,67633152.0,0.0,382.874,67.633152
0.0,200,5,1,2,0,2,379113.0,66322432.0,0.0,379.113,66.322432
0.0,1672,42,5,2,0,2,386520.0,70778880.0,0.0,386.52,70.77888
0.0,1765,126,2,1,0,0,350424.0,65798144.0,0.0,350.424,65.798144
0.0,1953,116,1,2,0,2,383754.0,76021760.0,0.0,383.754,76.02176
0.0,1044,124,2,2,0,1,378820.0,73924608.0,0.0,378.82,73.924608
0.0,709,74,2,1,0,0,370105.0,70778880.0,0.0,370.105,70.77888
0.0,2704,89,0,2,0,0,345092.0,68681728.0,0.0,345.092,68.681728
0.0,2435,126,0,1,0,0,381466.0,79167488.0,0.0,381.466,79.167488
0.0,2485,78,0,1,0,1,372985.0,74973184.0,0.0,372.985,74.973184
