exp,throughput,latency
rand_write,387420.0,49020928.0
rand_write,410866.0,61603840.0
rand_write,383956.0,68681728.0
rand_write,406435.0,60030976.0
rand_write,388645.0,56360960.0
rand_write,389771.0,77070336.0
rand_write,369518.0,85458944.0
rand_write,419397.0,41156608.0
rand_write,391070.0,86507520.0
rand_write,398584.0,67633152.0
rand_write,422287.0,70778880.0
rand_write,419157.0,60555264.0
rand_write,381402.0,69730304.0
rand_write,378132.0,89653248.0
rand_write,427148.0,69730304.0
rand_write,411258.0,73924608.0
rand_write,402532.0,60555264.0
rand_write,411010.0,60555264.0
rand_write,400431.0,64225280.0
rand_write,412503.0,62652416.0
rand_write,398116.0,61079552.0
rand_write,376821.0,71827456.0
rand_write,410926.0,71827456.0
rand_write,418793.0,66846720.0
rand_write,383889.0,68681728.0
rand_write,328637.0,88604672.0
rand_write,402471.0,73924608.0
rand_write,377337.0,71827456.0
rand_write,435978.0,68681728.0
rand_write,364727.0,69730304.0
rand_write,376827.0,76021760.0
rand_write,417068.0,65273856.0
rand_write,363408.0,65273856.0
rand_write,402652.0,66846720.0
rand_write,412791.0,55836672.0
rand_write,392526.0,50069504.0
rand_write,390165.0,73924608.0
rand_write,399809.0,74973184.0
rand_write,379371.0,67633152.0
rand_write,369876.0,72876032.0
rand_write,382777.0,68681728.0
rand_write,410941.0,77070336.0
rand_write,397384.0,66322432.0
rand_write,403206.0,60555264.0
rand_write,404792.0,73924608.0
rand_write,384550.0,80216064.0
rand_write,382952.0,65798144.0
rand_write,398565.0,73924608.0
rand_write,420684.0,61603840.0
rand_write,393410.0,76021760.0
rand_write,377787.0,46923776.0
rand_write,408400.0,65798144.0
rand_write,414026.0,76021760.0
rand_write,405333.0,63176704.0
rand_write,400458.0,46923776.0
rand_write,421384.0,73924608.0
rand_write,394713.0,78118912.0
rand_write,379188.0,67633152.0
rand_write,382799.0,68681728.0
rand_write,411380.0,69730304.0
rand_write,410735.0,63176704.0
rand_write,427029.0,64749568.0
rand_write,419611.0,67633152.0
rand_write,353858.0,84410368.0
rand_write,431144.0,58982400.0
rand_write,401812.0,55312384.0
rand_write,404703.0,74973184.0
rand_write,394977.0,61079552.0
rand_write,386903.0,58982400.0
rand_write,406865.0,59506688.0
rand_write,382573.0,56885248.0
rand_write,396189.0,61603840.0
rand_write,402637.0,71827456.0
rand_write,405735.0,65273856.0
rand_write,405763.0,71827456.0
rand_write,372522.0,67633152.0
rand_write,431323.0,45350912.0
rand_write,395365.0,67633152.0
rand_write,381434.0,64749568.0
rand_write,406701.0,63176704.0
rand_write,401460.0,57933824.0
rand_write,402943.0,73924608.0
rand_write,398485.0,62652416.0
rand_write,396785.0,67633152.0
rand_write,428965.0,66322432.0
rand_write,401034.0,91750400.0
rand_write,403454.0,69730304.0
rand_write,416801.0,71827456.0
rand_write,393179.0,66322432.0
rand_write,405432.0,73924608.0
rand_write,381978.0,69730304.0
rand_write,392065.0,74973184.0
rand_write,403557.0,66322432.0
rand_write,408105.0,85458944.0
rand_write,381712.0,63176704.0
rand_write,381638.0,83361792.0
rand_write,393036.0,66846720.0
rand_write,426465.0,79167488.0
rand_write,382460.0,58982400.0
rand_write,406968.0,67633152.0
rand_write,418787.0,51642368.0
rand_write,412622.0,53215232.0
rand_write,391435.0,72876032.0
rand_write,378294.0,76021760.0
rand_write,413677.0,71827456.0
rand_write,380456.0,77070336.0
rand_write,386861.0,62128128.0
rand_write,413231.0,67633152.0
rand_write,376166.0,58458112.0
rand_write,420233.0,66846720.0
rand_write,433740.0,50593792.0
rand_write,398208.0,68681728.0
rand_write,349630.0,69730304.0
rand_write,413744.0,72876032.0
rand_write,401715.0,73924608.0
rand_write,419879.0,71827456.0
rand_write,404239.0,59506688.0
rand_write,380743.0,60555264.0
rand_write,402018.0,56360960.0
rand_write,399710.0,60030976.0
rand_write,377650.0,82313216.0
rand_write,415604.0,65798144.0
rand_write,418390.0,42729472.0
rand_write,408057.0,71827456.0
rand_write,370343.0,61603840.0
rand_write,393280.0,70778880.0
rand_write,403549.0,76021760.0
rand_write,405384.0,58458112.0
rand_write,394807.0,73924608.0
rand_write,379216.0,63176704.0
rand_write,388000.0,72876032.0
rand_write,396515.0,81264640.0
rand_write,381990.0,52166656.0
rand_write,428544.0,57933824.0
rand_write,374997.0,60030976.0
rand_write,381100.0,41156608.0
rand_write,374660.0,68681728.0
rand_write,399820.0,38535168.0
rand_write,397890.0,90701824.0
rand_write,401722.0,64225280.0
rand_write,410664.0,63176704.0
rand_write,384622.0,55312384.0
rand_write,422657.0,71827456.0
rand_write,392238.0,82313216.0
rand_write,426602.0,45350912.0
rand_write,373649.0,64749568.0
rand_write,423982.0,73924608.0
rand_write,398599.0,77070336.0
rand_write,416002.0,69730304.0
rand_write,395848.0,68681728.0
rand_write,385610.0,70778880.0
rand_write,384320.0,59506688.0
rand_write,359976.0,77070336.0
rand_write,386885.0,42729472.0
rand_write,388548.0,72876032.0
rand_write,357161.0,108527616.0
rand_write,395297.0,61079552.0
rand_write,397927.0,76021760.0
rand_write,404965.0,52166656.0
rand_write,418876.0,69730304.0
rand_write,411093.0,55836672.0
rand_write,416925.0,65798144.0
rand_write,422161.0,71827456.0
rand_write,386849.0,67633152.0
rand_write,414567.0,52166656.0
rand_write,394164.0,68681728.0
rand_write,376372.0,56885248.0
rand_write,402090.0,55312384.0
rand_write,388807.0,68681728.0
rand_write,384277.0,73924608.0
rand_write,415880.0,79167488.0
rand_write,408244.0,60030976.0
rand_write,391187.0,62128128.0
rand_write,403218.0,63176704.0
rand_write,419585.0,59506688.0
rand_write,416829.0,65798144.0
rand_write,397945.0,68681728.0
rand_write,394174.0,67633152.0
rand_write,421940.0,61079552.0
rand_write,416349.0,70778880.0
rand_write,389627.0,66322432.0
rand_write,409880.0,62128128.0
rand_write,412621.0,54263808.0
rand_write,388265.0,80216064.0
rand_write,433772.0,79167488.0
rand_write,394480.0,90701824.0
rand_write,421630.0,77070336.0
rand_write,370936.0,74973184.0
rand_write,419444.0,67633152.0
rand_write,376589.0,79167488.0
rand_write,411112.0,64225280.0
rand_write,394995.0,78118912.0
rand_write,411621.0,53215232.0
rand_write,424118.0,55836672.0
rand_write,376346.0,69730304.0
rand_write,419758.0,67633152.0
rand_write,386321.0,59506688.0
rand_write,380595.0,67633152.0
rand_write,389564.0,79167488.0
rand_write,391540.0,69730304.0
rand_write,411159.0,71827456.0
rand_write,384445.0,92798976.0
rand_write,425767.0,57409536.0
rand_write,421503.0,68681728.0
rand_write,404758.0,63176704.0
rand_write,403254.0,74973184.0
rand_write,410212.0,70778880.0
rand_write,350544.0,67633152.0
rand_write,387480.0,77070336.0
rand_write,426370.0,52166656.0
rand_write,412544.0,68681728.0
rand_write,402383.0,67633152.0
rand_write,419804.0,65273856.0
rand_write,412098.0,65798144.0
rand_write,363522.0,61079552.0
rand_write,360866.0,70778880.0
rand_write,349198.0,105381888.0
rand_write,411331.0,78118912.0
rand_write,388018.0,66846720.0
rand_write,391532.0,71827456.0
rand_write,421428.0,72876032.0
rand_write,388325.0,64749568.0
rand_write,383322.0,63176704.0
rand_write,387848.0,63700992.0
rand_write,405176.0,61079552.0
rand_write,381169.0,77070336.0
rand_write,406100.0,64749568.0
rand_write,390191.0,66846720.0
rand_write,390103.0,94896128.0
rand_write,391940.0,66846720.0
rand_write,423466.0,64225280.0
rand_write,368960.0,89653248.0
rand_write,410155.0,58982400.0
rand_write,390684.0,70778880.0
rand_write,368581.0,74973184.0
rand_write,410981.0,79167488.0
rand_write,406047.0,63700992.0
rand_write,336787.0,76021760.0
rand_write,377876.0,70778880.0
rand_write,402744.0,70778880.0
rand_write,388762.0,78118912.0
rand_write,393837.0,80216064.0
rand_write,390710.0,42729472.0
rand_write,405366.0,62128128.0
rand_write,375417.0,80216064.0
rand_write,398872.0,77070336.0
rand_write,395507.0,64225280.0
rand_write,369014.0,90701824.0
rand_write,405822.0,64225280.0
rand_write,373008.0,64749568.0
rand_write,375806.0,91750400.0
rand_write,382067.0,80216064.0
rand_write,353247.0,90701824.0
rand_write,389512.0,78118912.0
rand_write,411180.0,49545216.0
rand_write,408378.0,76021760.0
rand_write,398346.0,63176704.0
rand_write,365871.0,76021760.0
rand_write,391662.0,71827456.0
rand_write,386015.0,74973184.0
rand_write,397022.0,74973184.0
rand_write,401932.0,60030976.0
rand_write,423431.0,50593792.0
rand_write,391220.0,43778048.0
rand_write,384431.0,71827456.0
rand_write,382305.0,67633152.0
rand_write,389400.0,63700992.0
rand_write,382162.0,76021760.0
rand_write,346792.0,74973184.0
rand_write,367789.0,57933824.0
rand_write,369834.0,63176704.0
rand_write,332929.0,111673344.0
rand_write,407719.0,93847552.0
rand_write,395678.0,60555264.0
rand_write,348099.0,76021760.0
rand_write,402515.0,51118080.0
rand_write,396243.0,43253760.0
rand_write,379781.0,63176704.0
rand_write,418267.0,65273856.0
rand_write,384750.0,66846720.0
rand_write,355279.0,81264640.0
rand_write,371856.0,76021760.0
rand_write,415581.0,72876032.0
rand_write,328574.0,89653248.0
rand_write,404042.0,60030976.0
rand_write,416966.0,58458112.0
rand_write,388402.0,73924608.0
rand_write,384865.0,67633152.0
rand_write,414802.0,71827456.0
rand_write,401170.0,61603840.0
rand_write,414998.0,67633152.0
rand_write,392625.0,72876032.0
rand_write,394040.0,67633152.0
rand_write,382350.0,60555264.0
rand_write,391404.0,65798144.0
rand_write,361033.0,80216064.0
rand_write,403830.0,67633152.0
rand_write,382267.0,79167488.0
rand_write,399852.0,72876032.0
rand_write,366958.0,61603840.0
rand_write,406199.0,76021760.0
rand_write,423680.0,47448064.0
rand_write,393031.0,73924608.0
rand_write,355338.0,91750400.0
rand_write,361890.0,72876032.0
rand_write,396110.0,58458112.0
rand_write,373537.0,76021760.0
rand_write,429210.0,57933824.0
rand_write,374248.0,82313216.0
rand_write,376938.0,58458112.0
rand_write,394073.0,76021760.0
rand_write,381091.0,63700992.0
rand_write,373879.0,69730304.0
rand_write,345419.0,85458944.0
rand_write,369304.0,78118912.0
rand_write,402202.0,74973184.0
rand_write,395720.0,73924608.0
rand_write,390113.0,73924608.0
rand_write,411096.0,69730304.0
rand_write,377490.0,72876032.0
rand_write,391241.0,76021760.0
rand_write,417370.0,65273856.0
rand_write,397433.0,64749568.0
rand_write,369611.0,93847552.0
rand_write,378540.0,63700992.0
rand_write,408859.0,65798144.0
rand_write,397661.0,48496640.0
rand_write,372807.0,65273856.0
rand_write,378623.0,74973184.0
rand_write,406048.0,71827456.0
rand_write,392386.0,74973184.0
rand_write,358135.0,71827456.0
rand_write,399391.0,56885248.0
rand_write,415832.0,80216064.0
rand_write,370963.0,86507520.0
rand_write,408480.0,55312384.0
rand_write,345648.0,81264640.0
rand_write,354478.0,89653248.0
rand_write,369156.0,72876032.0
rand_write,423609.0,42729472.0
rand_write,349999.0,78118912.0
rand_write,342293.0,92798976.0
rand_write,423150.0,68681728.0
rand_write,373994.0,69730304.0
rand_write,391905.0,78118912.0
