gen,max_sectors_kb,nr_requests,read_ahead_kb,nomerges,scheduler,rq_affinity,read_throughput,read_latency,is_pareto
0.0,2916,11,5,1,0,1,899281.0,700416.0,1.0
0.0,2311,6,3,2,0,2,797011.0,593920.0,1.0
0.0,3184,6,5,2,0,1,772162.0,577536.0,1.0
0.0,1602,70,0,2,0,0,885187.0,643072.0,1.0
0.0,2170,17,1,1,0,1,796957.0,618496.0,0.0
0.0,2880,1,2,2,0,1,742918.0,577536.0,0.0
0.0,4,1,0,0,0,0,813052.0,733184.0,0.0
0.0,3295,125,3,0,0,0,802540.0,667648.0,0.0
0.0,2298,26,0,2,0,2,876061.0,790528.0,0.0
0.0,2760,56,5,2,0,1,793415.0,618496.0,0.0
0.0,957,96,0,2,0,2,861907.0,806912.0,0.0
0.0,1480,80,0,0,0,1,874545.0,913408.0,0.0
0.0,3480,7,2,0,0,2,688234.0,618496.0,0.0
0.0,3104,100,6,2,0,2,767358.0,659456.0,0.0
0.0,2798,6,0,2,0,2,843141.0,806912.0,0.0
0.0,725,40,3,1,0,0,764565.0,659456.0,0.0
0.0,3141,16,0,0,0,1,817128.0,839680.0,0.0
0.0,1479,37,4,2,0,1,840295.0,1028096.0,0.0
0.0,3608,97,1,0,0,0,756916.0,659456.0,0.0
0.0,59,106,3,2,0,2,775543.0,872448.0,0.0
0.0,3239,68,1,0,0,1,829188.0,1056768.0,0.0
0.0,610,52,4,0,0,2,747040.0,733184.0,0.0
0.0,3658,76,5,1,0,0,673654.0,667648.0,0.0
0.0,2531,71,4,1,0,0,768930.0,905216.0,0.0
0.0,2522,38,5,0,0,0,748551.0,888832.0,0.0
0.0,1019,88,4,0,0,0,793696.0,1089536.0,0.0
0.0,3207,52,2,2,0,0,738555.0,806912.0,0.0
0.0,2401,106,1,1,0,2,749022.0,978944.0,0.0
0.0,1897,90,6,1,0,0,760797.0,987136.0,0.0
0.0,3029,120,3,2,0,0,783580.0,1368064.0,0.0
0.0,414,62,6,2,0,0,768750.0,1155072.0,0.0
0.0,3146,71,4,1,0,0,735179.0,962560.0,0.0
0.0,208,75,3,2,0,2,710960.0,946176.0,0.0
0.0,3742,82,1,1,0,0,783455.0,2113536.0,0.0
0.0,2050,64,3,1,0,1,756877.0,1318912.0,0.0
0.0,4096,128,7,3,1,3,758681.0,1368064.0,0.0
0.0,2480,85,4,0,0,0,763564.0,1384448.0,0.0
0.0,3885,99,1,2,0,1,752224.0,1187840.0,0.0
0.0,1969,66,5,0,0,1,728862.0,970752.0,0.0
0.0,1355,102,6,0,0,0,766637.0,2113536.0,0.0
0.0,1012,90,5,2,0,2,739467.0,1220608.0,0.0
0.0,3468,61,1,2,0,1,728719.0,1019904.0,0.0
0.0,3904,40,4,0,0,1,758463.0,2310144.0,0.0
0.0,2466,56,4,2,0,2,737654.0,1548288.0,0.0
0.0,214,23,2,1,0,2,723350.0,1028096.0,0.0
0.0,1102,61,2,2,0,1,727770.0,2023424.0,0.0
0.0,971,58,6,1,0,1,652859.0,2146304.0,0.0
0.0,2996,49,3,1,0,2,722770.0,2179072.0,0.0
0.0,4019,90,4,1,0,1,711656.0,2408448.0,0.0
0.0,2093,72,1,2,0,1,701452.0,2310144.0,0.0
1.0,2311,6,3,2,0,2,797011.0,593920.0,1.0
1.0,3184,6,5,2,0,1,772162.0,577536.0,1.0
1.0,3239,69,0,0,0,1,1035522.0,626688.0,1.0
1.0,3036,9,3,2,0,0,765327.0,501760.0,1.0
1.0,2170,17,1,1,0,1,796957.0,618496.0,0.0
1.0,2916,11,5,1,0,1,899281.0,700416.0,0.0
1.0,1602,70,0,2,0,0,885187.0,643072.0,0.0
1.0,2798,7,0,2,0,2,861500.0,634880.0,0.0
1.0,2880,1,2,2,0,1,742918.0,577536.0,0.0
1.0,2760,56,5,2,0,1,793415.0,618496.0,0.0
1.0,2298,26,0,2,0,2,876061.0,790528.0,0.0
1.0,1614,22,0,2,0,2,877983.0,1089536.0,0.0
1.0,2787,1,0,2,0,0,872983.0,741376.0,0.0
1.0,59,106,3,2,0,1,793432.0,634880.0,0.0
1.0,4,1,0,0,0,0,853459.0,643072.0,0.0
1.0,3480,7,2,0,0,2,688234.0,618496.0,0.0
1.0,1480,80,0,0,0,1,874545.0,913408.0,0.0
1.0,957,96,0,2,0,2,861907.0,806912.0,0.0
1.0,2286,70,0,2,0,0,869427.0,831488.0,0.0
1.0,2298,26,0,2,0,2,871033.0,880640.0,0.0
1.0,3103,16,0,0,0,1,841427.0,651264.0,0.0
1.0,2170,17,1,2,0,2,793299.0,643072.0,0.0
1.0,2798,6,0,2,0,2,843141.0,806912.0,0.0
1.0,4,1,0,0,0,0,813052.0,733184.0,0.0
1.0,3295,125,3,0,0,0,802540.0,667648.0,0.0
1.0,3608,97,0,0,0,0,837884.0,749568.0,0.0
1.0,3104,100,6,2,0,2,767358.0,659456.0,0.0
1.0,1479,37,4,2,0,1,840295.0,1028096.0,0.0
1.0,3295,125,3,0,0,0,787250.0,724992.0,0.0
1.0,1479,30,4,0,0,1,784878.0,684032.0,0.0
1.0,3141,16,0,0,0,1,817128.0,839680.0,0.0
1.0,3141,100,6,2,0,2,798701.0,790528.0,0.0
1.0,725,40,3,1,0,0,764565.0,659456.0,0.0
1.0,3239,68,1,0,0,1,829188.0,1056768.0,0.0
1.0,2760,56,1,2,0,1,768595.0,692224.0,0.0
1.0,1480,80,0,0,0,1,811803.0,864256.0,0.0
1.0,1499,37,2,2,0,1,772908.0,823296.0,0.0
1.0,3608,97,1,0,0,0,756916.0,659456.0,0.0
1.0,1480,80,0,2,0,1,823853.0,1990656.0,0.0
1.0,3468,61,5,2,0,1,758706.0,708608.0,0.0
1.0,59,106,3,2,0,2,775543.0,872448.0,0.0
1.0,1019,88,4,0,0,0,793696.0,1089536.0,0.0
1.0,2916,14,5,1,0,1,801227.0,1220608.0,0.0
1.0,4088,122,7,2,1,3,792519.0,1056768.0,0.0
1.0,3658,76,1,1,0,0,779614.0,1019904.0,0.0
1.0,3608,99,5,0,0,0,772141.0,823296.0,0.0
1.0,3658,76,5,1,0,0,673654.0,667648.0,0.0
1.0,3480,7,2,0,0,1,796640.0,1220608.0,0.0
1.0,2760,37,5,2,0,1,743329.0,708608.0,0.0
1.0,3742,82,1,1,0,0,786671.0,1138688.0,0.0
2.0,3239,69,0,0,0,1,1035522.0,626688.0,1.0
2.0,3036,9,3,2,0,0,765327.0,501760.0,1.0
2.0,1479,78,0,2,0,1,880550.0,593920.0,1.0
2.0,2798,4,0,2,0,2,796872.0,528384.0,1.0
2.0,3091,5,2,2,0,2,805644.0,561152.0,1.0
2.0,3141,16,0,0,0,1,921431.0,692224.0,0.0
2.0,3658,76,0,1,0,0,1022020.0,1171456.0,0.0
2.0,3757,1,0,2,0,0,986373.0,929792.0,0.0
2.0,1480,40,3,0,0,1,888143.0,643072.0,0.0
2.0,2880,1,0,2,0,1,872847.0,618496.0,0.0
2.0,2798,7,0,2,0,2,825655.0,610304.0,0.0
2.0,2311,6,3,2,0,2,797011.0,593920.0,0.0
2.0,3184,6,5,2,0,1,772162.0,577536.0,0.0
2.0,2916,11,5,1,0,1,899281.0,700416.0,0.0
2.0,2916,14,5,1,0,1,899857.0,847872.0,0.0
2.0,1602,70,0,2,0,0,885187.0,643072.0,0.0
2.0,2798,7,0,2,0,2,861500.0,634880.0,0.0
2.0,68,54,0,2,0,1,841732.0,618496.0,0.0
2.0,3184,6,5,2,0,1,760293.0,577536.0,0.0
2.0,1614,22,0,2,0,2,877983.0,1089536.0,0.0
2.0,2787,1,0,2,0,0,872983.0,741376.0,0.0
2.0,3608,97,0,0,0,0,877446.0,749568.0,0.0
2.0,4,1,0,0,0,0,866939.0,643072.0,0.0
2.0,2286,8,0,2,0,2,842014.0,634880.0,0.0
2.0,2170,17,1,1,0,1,796957.0,618496.0,0.0
2.0,814,56,3,2,0,1,808489.0,626688.0,0.0
2.0,2311,6,3,2,0,2,746622.0,577536.0,0.0
2.0,2298,26,0,2,0,2,876061.0,790528.0,0.0
2.0,3066,23,0,0,0,2,873889.0,749568.0,0.0
2.0,4,1,0,0,0,0,853459.0,643072.0,0.0
2.0,995,89,0,2,0,1,817812.0,634880.0,0.0
2.0,2760,56,5,2,0,1,793415.0,618496.0,0.0
2.0,2880,1,2,2,0,1,742918.0,577536.0,0.0
2.0,1480,80,0,0,0,1,874545.0,913408.0,0.0
2.0,957,96,0,2,0,2,861907.0,806912.0,0.0
2.0,2286,70,0,2,0,0,869427.0,831488.0,0.0
