exp,throughput,latency
seq_read,751566.0,2834432.0
seq_read,882847.0,1957888.0
seq_read,792386.0,1036288.0
seq_read,749750.0,610304.0
seq_read,857869.0,1011712.0
seq_read,838308.0,921600.0
seq_read,805672.0,888832.0
seq_read,695138.0,1564672.0
seq_read,763150.0,577536.0
seq_read,741605.0,1019904.0
seq_read,772314.0,1351680.0
seq_read,816417.0,978944.0
seq_read,885271.0,856064.0
seq_read,941343.0,1957888.0
seq_read,813560.0,561152.0
seq_read,767600.0,684032.0
seq_read,733854.0,1269760.0
seq_read,845842.0,1044480.0
seq_read,739701.0,659456.0
seq_read,802703.0,1253376.0
seq_read,793132.0,1089536.0
seq_read,892937.0,1073152.0
seq_read,883457.0,675840.0
seq_read,790001.0,1318912.0
seq_read,781283.0,1073152.0
seq_read,807169.0,700416.0
seq_read,770247.0,1204224.0
seq_read,799505.0,987136.0
seq_read,783617.0,995328.0
seq_read,895358.0,831488.0
seq_read,802725.0,610304.0
seq_read,877027.0,1302528.0
seq_read,888666.0,970752.0
seq_read,781689.0,585728.0
seq_read,738180.0,602112.0
seq_read,769040.0,1028096.0
seq_read,875324.0,1564672.0
seq_read,793396.0,2039808.0
seq_read,807688.0,1138688.0
seq_read,791521.0,610304.0
seq_read,763631.0,501760.0
seq_read,1014684.0,724992.0
seq_read,716368.0,618496.0
seq_read,507044.0,2441216.0
seq_read,853790.0,1433600.0
seq_read,759578.0,1204224.0
seq_read,845354.0,1011712.0
seq_read,751536.0,1269760.0
seq_read,724300.0,2088960.0
seq_read,1053678.0,577536.0
seq_read,958588.0,856064.0
seq_read,790926.0,1056768.0
seq_read,771834.0,618496.0
seq_read,765000.0,1810432.0
seq_read,790807.0,1417216.0
seq_read,758249.0,1073152.0
seq_read,896034.0,1019904.0
seq_read,834205.0,2441216.0
seq_read,750320.0,946176.0
seq_read,761186.0,684032.0
seq_read,720649.0,1957888.0
seq_read,766025.0,880640.0
seq_read,872768.0,643072.0
seq_read,782083.0,2072576.0
seq_read,786914.0,1204224.0
seq_read,963880.0,815104.0
seq_read,776350.0,1335296.0
seq_read,796965.0,856064.0
seq_read,731429.0,1003520.0
seq_read,761468.0,626688.0
seq_read,844644.0,561152.0
seq_read,743104.0,897024.0
seq_read,762111.0,1089536.0
seq_read,824168.0,2211840.0
seq_read,730009.0,987136.0
seq_read,1053046.0,765952.0
seq_read,740797.0,946176.0
seq_read,839866.0,749568.0
seq_read,798740.0,2056192.0
seq_read,866239.0,937984.0
seq_read,888509.0,946176.0
