gen,max_sectors_kb,nr_requests,read_ahead_kb,nomerges,scheduler,rq_affinity,write_throughput,write_latency,is_pareto
0.0,1905,117,3,0,0,1,582286.0,17432576.0,1.0
0.0,434,14,2,2,0,0,518572.0,16318464.0,1.0
0.0,1271,6,3,0,0,1,571037.0,17170432.0,1.0
0.0,1038,21,0,2,0,0,526300.0,16580608.0,1.0
0.0,354,93,2,2,0,2,521681.0,16449536.0,1.0
0.0,1493,30,5,0,0,0,577648.0,17432576.0,0.0
0.0,1641,24,5,1,0,2,499269.0,16318464.0,0.0
0.0,1776,9,0,2,0,2,535614.0,17170432.0,0.0
0.0,2850,53,4,1,0,0,514679.0,16449536.0,0.0
0.0,883,45,6,0,0,1,573027.0,17432576.0,0.0
0.0,3700,47,5,1,0,1,510733.0,16449536.0,0.0
0.0,817,39,2,1,0,0,513448.0,16908288.0,0.0
0.0,3259,86,5,1,0,1,566622.0,26345472.0,0.0
0.0,121,71,1,0,0,2,563549.0,17432576.0,0.0
0.0,3996,117,3,1,0,0,502975.0,16580608.0,0.0
0.0,1786,83,2,0,0,0,563103.0,19005440.0,0.0
0.0,256,51,1,1,0,1,562181.0,17694720.0,0.0
0.0,1940,81,4,0,0,1,551538.0,17432576.0,0.0
0.0,1643,56,5,1,0,1,498962.0,16711680.0,0.0
0.0,4077,29,6,2,0,1,561430.0,17694720.0,0.0
0.0,3190,118,2,1,0,1,561468.0,32112640.0,0.0
0.0,2145,42,0,2,0,2,468608.0,16711680.0,0.0
0.0,1952,29,3,1,0,1,555595.0,23986176.0,0.0
0.0,3378,103,2,0,0,1,549224.0,17694720.0,0.0
0.0,1279,75,4,1,0,0,554239.0,31850496.0,0.0
0.0,2616,126,4,0,0,1,548053.0,17694720.0,0.0
0.0,4,1,0,0,0,0,546903.0,23199744.0,0.0
0.0,312,90,1,0,0,1,540854.0,19791872.0,0.0
0.0,285,31,1,1,0,2,499049.0,18219008.0,0.0
0.0,3520,32,6,0,0,1,540733.0,20316160.0,0.0
0.0,173,102,2,0,0,0,526013.0,20054016.0,0.0
0.0,130,53,2,2,0,0,535908.0,21626880.0,0.0
0.0,3053,47,0,0,0,2,531596.0,21364736.0,0.0
0.0,2170,10,6,0,0,0,525021.0,20578304.0,0.0
0.0,3318,123,5,2,0,1,467260.0,20054016.0,0.0
0.0,1455,120,1,0,0,0,519223.0,20316160.0,0.0
0.0,623,86,2,2,0,2,522739.0,30539776.0,0.0
0.0,2108,59,3,1,0,0,509518.0,20578304.0,0.0
0.0,1803,80,0,2,0,2,500159.0,20316160.0,0.0
0.0,296,99,2,1,0,1,515840.0,50069504.0,0.0
0.0,4096,128,7,3,1,3,509374.0,21364736.0,0.0
0.0,1907,60,3,1,0,0,491533.0,20316160.0,0.0
0.0,38,78,4,2,0,2,496250.0,20578304.0,0.0
0.0,2894,88,3,0,0,0,509252.0,46399488.0,0.0
0.0,2276,126,5,2,0,0,506319.0,33816576.0,0.0
0.0,81,95,4,2,0,2,495883.0,32899072.0,0.0
0.0,1092,3,1,2,0,2,493108.0,20578304.0,0.0
0.0,3141,49,4,1,0,1,502832.0,72876032.0,0.0
0.0,99,114,2,1,0,2,465173.0,21889024.0,0.0
0.0,2050,64,3,1,0,1,457700.0,21889024.0,0.0
1.0,434,14,2,2,0,0,518572.0,16318464.0,1.0
1.0,1271,6,3,0,0,1,571037.0,17170432.0,1.0
1.0,1038,21,0,2,0,0,526300.0,16580608.0,1.0
1.0,354,93,2,2,0,2,521681.0,16449536.0,1.0
1.0,1271,6,2,0,0,1,584954.0,17432576.0,1.0
1.0,1223,92,2,2,0,0,529243.0,16908288.0,1.0
1.0,438,89,1,0,0,1,595395.0,18219008.0,1.0
1.0,3996,117,0,1,0,0,586944.0,17694720.0,1.0
1.0,883,45,6,1,0,1,504657.0,16318464.0,0.0
1.0,2307,10,6,0,0,0,538774.0,17170432.0,0.0
1.0,2850,53,4,1,0,0,514679.0,16449536.0,0.0
1.0,1905,117,3,0,0,1,582286.0,17432576.0,0.0
1.0,1641,24,5,1,0,2,499269.0,16318464.0,0.0
1.0,1776,9,0,2,0,2,535614.0,17170432.0,0.0
1.0,3700,47,5,1,0,1,510733.0,16449536.0,0.0
1.0,817,39,2,1,0,0,513448.0,16908288.0,0.0
1.0,3173,118,2,1,0,1,580880.0,17956864.0,0.0
1.0,345,75,4,0,0,2,580351.0,17432576.0,0.0
1.0,1968,28,3,1,0,1,480593.0,16318464.0,0.0
1.0,3165,29,6,1,0,1,506849.0,16580608.0,0.0
1.0,3378,86,5,1,0,1,511047.0,16908288.0,0.0
1.0,1493,30,5,0,0,0,577648.0,17432576.0,0.0
1.0,130,53,2,2,0,1,579793.0,17956864.0,0.0
1.0,3996,117,3,1,0,0,502975.0,16580608.0,0.0
1.0,4012,117,3,1,0,0,506768.0,16908288.0,0.0
1.0,4094,86,5,2,0,1,577646.0,17432576.0,0.0
1.0,1643,56,5,1,0,1,498962.0,16711680.0,0.0
1.0,883,45,6,0,0,1,573027.0,17432576.0,0.0
1.0,1455,120,1,0,0,0,574538.0,17694720.0,0.0
1.0,2212,46,0,2,0,0,496022.0,16711680.0,0.0
1.0,891,45,6,0,0,1,566649.0,17432576.0,0.0
1.0,3378,103,2,0,0,1,572135.0,17956864.0,0.0
1.0,3520,32,5,0,0,0,566655.0,17694720.0,0.0
1.0,2145,42,0,2,0,2,468608.0,16711680.0,0.0
1.0,291,102,2,0,0,2,565898.0,17432576.0,0.0
1.0,1455,41,1,0,0,0,572087.0,17956864.0,0.0
1.0,121,71,1,0,0,2,563549.0,17432576.0,0.0
1.0,3259,86,5,1,0,1,566622.0,26345472.0,0.0
1.0,1786,83,2,0,0,0,563103.0,19005440.0,0.0
1.0,256,51,1,1,0,1,562181.0,17694720.0,0.0
1.0,1905,118,3,0,0,1,555388.0,17432576.0,0.0
1.0,4077,29,6,2,0,1,561430.0,17694720.0,0.0
1.0,3190,118,2,1,0,1,561468.0,32112640.0,0.0
1.0,1940,81,4,0,0,1,551538.0,17432576.0,0.0
1.0,2850,25,5,1,0,0,560989.0,17694720.0,0.0
1.0,256,71,1,0,0,1,547764.0,17432576.0,0.0
1.0,122,71,1,0,0,0,558421.0,17694720.0,0.0
1.0,1907,60,3,0,0,0,559509.0,20578304.0,0.0
1.0,3507,32,5,0,0,0,558190.0,17956864.0,0.0
1.0,3700,48,5,1,0,1,555610.0,17694720.0,0.0
2.0,1271,6,3,0,0,1,571037.0,17170432.0,1.0
2.0,1271,6,2,0,0,1,584954.0,17432576.0,1.0
2.0,1223,92,2,2,0,0,529243.0,16908288.0,1.0
2.0,438,89,1,0,0,1,595395.0,18219008.0,1.0
2.0,3996,117,0,1,0,0,586944.0,17694720.0,1.0
2.0,2283,42,0,2,0,2,526770.0,16318464.0,1.0
2.0,2307,10,6,0,0,0,538774.0,17170432.0,0.0
2.0,1905,117,3,0,0,1,582286.0,17432576.0,0.0
2.0,434,14,2,2,0,0,518572.0,16318464.0,0.0
2.0,1038,21,0,2,0,0,526300.0,16580608.0,0.0
2.0,354,93,2,2,0,2,521681.0,16449536.0,0.0
2.0,1776,9,0,2,0,2,535614.0,17170432.0,0.0
2.0,3173,118,2,1,0,1,580880.0,17956864.0,0.0
2.0,345,75,4,0,0,2,580351.0,17432576.0,0.0
2.0,1940,85,4,1,0,1,517210.0,16318464.0,0.0
2.0,3738,48,5,1,0,1,523101.0,17170432.0,0.0
2.0,1493,30,5,0,0,0,577648.0,17432576.0,0.0
2.0,130,53,2,2,0,1,579793.0,17956864.0,0.0
2.0,1071,45,6,0,0,0,578332.0,17694720.0,0.0
2.0,883,45,6,1,0,1,504657.0,16318464.0,0.0
2.0,2850,53,4,1,0,0,514679.0,16449536.0,0.0
2.0,4094,86,5,2,0,1,577646.0,17432576.0,0.0
2.0,1128,92,2,2,0,0,578787.0,18743296.0,0.0
2.0,1641,24,5,1,0,2,499269.0,16318464.0,0.0
2.0,3700,47,5,1,0,1,510733.0,16449536.0,0.0
2.0,817,39,2,1,0,0,513448.0,16908288.0,0.0
2.0,883,45,6,0,0,1,573027.0,17432576.0,0.0
2.0,1455,120,1,0,0,0,574538.0,17694720.0,0.0
2.0,1968,28,3,1,0,1,480593.0,16318464.0,0.0
2.0,121,72,1,1,0,0,491262.0,16449536.0,0.0
2.0,2364,82,6,2,0,1,507697.0,16580608.0,0.0
2.0,3378,86,5,1,0,1,511047.0,16908288.0,0.0
2.0,1786,83,2,0,0,0,569643.0,17432576.0,0.0
2.0,1786,89,2,0,0,0,573244.0,17694720.0,0.0
