exp,throughput,latency
seq_write,471240.0,23461888.0
seq_write,534826.0,33423360.0
seq_write,495577.0,20316160.0
seq_write,517381.0,17170432.0
seq_write,542985.0,44826624.0
seq_write,553009.0,17956864.0
seq_write,484831.0,17170432.0
seq_write,470445.0,71827456.0
seq_write,486884.0,16908288.0
seq_write,551122.0,17956864.0
seq_write,485940.0,20840448.0
seq_write,494858.0,21364736.0
seq_write,495814.0,53739520.0
seq_write,496209.0,19791872.0
seq_write,517322.0,47448064.0
seq_write,533547.0,18481152.0
seq_write,498824.0,16908288.0
seq_write,482590.0,27131904.0
seq_write,562431.0,18481152.0
seq_write,560049.0,17956864.0
seq_write,494844.0,68681728.0
seq_write,523388.0,17432576.0
seq_write,474749.0,16908288.0
seq_write,429698.0,57409536.0
seq_write,506053.0,16908288.0
seq_write,493425.0,16908288.0
seq_write,559021.0,21102592.0
seq_write,505409.0,16908288.0
seq_write,545639.0,47448064.0
seq_write,496691.0,20840448.0
seq_write,527536.0,60030976.0
seq_write,536707.0,16908288.0
seq_write,505872.0,20054016.0
seq_write,470113.0,21889024.0
seq_write,582773.0,18481152.0
seq_write,507322.0,17170432.0
seq_write,508609.0,72876032.0
seq_write,502717.0,19529728.0
seq_write,514735.0,20316160.0
seq_write,423824.0,20840448.0
seq_write,485079.0,17170432.0
seq_write,485688.0,16908288.0
seq_write,541251.0,21626880.0
seq_write,504947.0,16711680.0
seq_write,519828.0,17170432.0
seq_write,471529.0,21102592.0
seq_write,501405.0,20316160.0
seq_write,538480.0,52166656.0
seq_write,472117.0,21626880.0
seq_write,525371.0,20578304.0
seq_write,563457.0,18743296.0
seq_write,511303.0,54263808.0
seq_write,482929.0,21626880.0
seq_write,532337.0,16908288.0
seq_write,522211.0,16908288.0
seq_write,536705.0,58458112.0
seq_write,482724.0,21364736.0
seq_write,520811.0,17170432.0
seq_write,525332.0,19529728.0
seq_write,431442.0,67633152.0
seq_write,545471.0,19267584.0
seq_write,512227.0,16908288.0
seq_write,549220.0,51118080.0
seq_write,495821.0,20316160.0
seq_write,480879.0,18481152.0
seq_write,564877.0,18219008.0
seq_write,468087.0,21102592.0
seq_write,501384.0,58982400.0
seq_write,577263.0,18219008.0
seq_write,485364.0,20054016.0
seq_write,542509.0,18219008.0
seq_write,521290.0,17170432.0
seq_write,484959.0,21626880.0
seq_write,477495.0,16908288.0
seq_write,511518.0,17432576.0
seq_write,442364.0,59506688.0
seq_write,570258.0,17694720.0
seq_write,517257.0,17170432.0
seq_write,497100.0,69730304.0
seq_write,486120.0,20840448.0
seq_write,512965.0,16908288.0
seq_write,474981.0,21626880.0
seq_write,538146.0,20316160.0
seq_write,498686.0,54263808.0
seq_write,586827.0,18481152.0
seq_write,507329.0,33423360.0
seq_write,558967.0,17956864.0
seq_write,570942.0,17956864.0
seq_write,491507.0,20578304.0
seq_write,486081.0,16908288.0
seq_write,557176.0,17956864.0
seq_write,447696.0,64225280.0
seq_write,482733.0,17170432.0
seq_write,518009.0,16908288.0
seq_write,497013.0,16908288.0
seq_write,475857.0,72876032.0
seq_write,508253.0,17170432.0
seq_write,571196.0,17694720.0
seq_write,527981.0,21626880.0
seq_write,478612.0,56885248.0
seq_write,602421.0,17956864.0
seq_write,477999.0,21102592.0
seq_write,531787.0,18219008.0
seq_write,547240.0,17694720.0
seq_write,568059.0,17694720.0
seq_write,497205.0,17694720.0
seq_write,547051.0,18219008.0
seq_write,525158.0,56360960.0
seq_write,492935.0,18481152.0
seq_write,513796.0,17170432.0
seq_write,526663.0,39583744.0
seq_write,484183.0,19529728.0
seq_write,546217.0,20054016.0
seq_write,574616.0,17432576.0
seq_write,501927.0,20840448.0
seq_write,520147.0,21364736.0
seq_write,543189.0,17694720.0
seq_write,505238.0,20054016.0
seq_write,481019.0,72876032.0
seq_write,530191.0,19529728.0
seq_write,541171.0,20054016.0
seq_write,473532.0,25034752.0
seq_write,387660.0,84410368.0
seq_write,436870.0,72876032.0
seq_write,464611.0,21102592.0
seq_write,484459.0,56360960.0
seq_write,451826.0,20840448.0
seq_write,539093.0,18219008.0
seq_write,485160.0,18743296.0
seq_write,476172.0,56885248.0
seq_write,472661.0,26869760.0
seq_write,411681.0,85458944.0
seq_write,489081.0,57933824.0
